Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
TC2_DXQU_4K,500,6,4,11,13,24,2,73,0.00%,2.3,10.6
TC2_DXSL_4K,500,4,4,7,8,18,2,67,0.00%,2.3,10.6
TC2_DXQU_8K,500,5,4,8,12,29,3,82,0.00%,2.3,19.5
TC2_DXSL_8K,500,5,4,8,13,46,3,72,0.00%,2.3,19.5
TC2_DXQU_16K,500,9,6,15,19,52,4,105,0.00%,2.3,37.3
TC2_DXSL_16K,500,9,6,16,21,47,5,92,0.00%,2.3,37.3
TC2_DXQU_64K,500,41,36,60,72,98,14,792,0.00%,2.3,143.7
TC2_DXSL_64K,500,41,34,65,84,95,13,811,0.00%,2.3,143.7
TC2_DXQU_512K,500,345,339,443,491,598,95,1176,0.00%,2.3,1137.6
TC2_DXSL_512K,500,340,327,452,506,616,104,1225,0.00%,2.3,1137.3
TC2_DXQU_1024K,500,682,668,888,966,1359,210,1458,0.00%,2.3,2270.7
TC2_DXSL_1024K,500,671,656,862,951,1114,210,1648,0.00%,2.3,2270.9
TOTAL,6000,180,22,637,737,949,2,1648,0.00%,27.5,7218.3
