Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
TC2_DXQU_4K,500,7,5,12,16,27,2,263,0.00%,2.3,10.7
TC2_DXSL_4K,500,7,4,9,14,28,3,909,0.00%,2.3,10.7
TC2_DXQU_8K,500,6,5,10,15,51,3,67,0.00%,2.3,19.6
TC2_DXSL_8K,500,6,5,10,14,27,3,112,0.00%,2.3,19.6
TC2_DXQU_16K,500,9,7,16,21,60,4,77,0.00%,2.3,37.6
TC2_DXSL_16K,500,11,7,19,23,54,5,136,0.00%,2.3,37.6
TC2_DXQU_64K,500,37,34,56,66,109,16,134,0.00%,2.3,145.0
TC2_DXSL_64K,500,43,37,71,86,111,15,130,0.00%,2.3,145.0
TC2_DXQU_512K,500,326,314,432,481,581,115,1069,0.00%,2.3,1148.5
TC2_DXSL_512K,500,347,328,480,536,610,110,1059,0.00%,2.3,1149.6
TC2_DXQU_1024K,500,651,637,842,956,1113,207,1585,0.00%,2.3,2298.4
TC2_DXSL_1024K,500,692,661,892,1023,1226,203,1645,0.00%,2.3,2304.1
TOTAL,6000,178,23,626,725,965,2,1645,0.00%,27.7,7279.1
